"#","Word","Frequency","Google_Translate","Wolfram_Translate"
1,"und",0.027940160515159008,"and","{""plus"", ""and also"", ""and""}"
2,"die",0.025626486836114924,"the","{""those"", ""that"", ""the"", ""who"", ""whom"", ""which"", ""these"", ""this one"", ""that one""}"
3,"sie",0.022116400509765186,"she","{""her"", ""she"", ""them"", ""they""}"
4,"der",0.018794766984479593,"of the","{""that"", ""the"", ""who"", ""whom"", ""which"", ""this one"", ""that one""}"
5,"er",0.017071636313581145,"he","{""he""}"
6,"ich",0.015765634656721962,"I","{""I""}"
7,"das",0.01334668932897347,"the","{""that"", ""this"", ""the"", ""who"", ""whom"", ""which""}"
8,"zu",0.013012165819180724,"to","{""for"", ""to"", ""of"", ""too"", ""overly""}"
9,"in",0.012817021108800444,"in","{""trendy"", ""very fashionable"", ""at"", ""in"", ""to"", ""inside"", ""into"", ""within"", ""to the inside""}"
10,"sich",0.011520301777766872,"yourself","{""you"", ""yourselves"", ""yourself"", ""itself"", ""himself"", ""herself"", ""oneself"", ""themselves""}"
11,"den",0.01135250035276436,"the","{""who"", ""whom"", ""that"", ""which""}"
12,"nicht",0.011344873015264245,"Not","{""not""}"
13,"war",0.010094205533287968,"was","Missing[""NotAvailable""]"
14,"es",0.010064127919372423,"it","{""it""}"
15,"auf",0.009254334936105578,"on","{""by"", ""to"", ""up"", ""out of bed"", ""on"", ""upon""}"
16,"mit",0.008662208895648596,"With","{""with"", ""along"", ""of"", ""containing"", ""by"", ""per"", ""for each"", ""on top"", ""topped with""}"
17,"ein",0.008637527982794454,"on","{""one"", ""a certain"", ""some"", ""a"", ""an""}"
18,"hatte",0.006775306336540149,"would have","Missing[""NotAvailable""]"
19,"von",0.006563755654933208,"from","{""out of"", ""of"", ""from"", ""coming from"", ""originating from"", ""by""}"
20,"dass",0.0061979312789843324,"that","Missing[""NotAvailable""]"
21,"an",0.006179654451389719,"on","{""to""}"
22,"dem",0.005982998664712245,"the","{""who"", ""whom"", ""that"", ""which""}"
23,"eine",0.005948675645961732,"a","{""one"", ""a certain"", ""some"", ""a"", ""an""}"
24,"wie",0.005947092613650387,"how","{""like"", ""for example"", ""such as"", ""how"", ""in the same way as"", ""as"", ""eh"", ""just like"", ""just as""}"
25,"ist",0.005710932975203454,"is","Missing[""NotAvailable""]"
26,"als",0.005485854562935932,"as","{""when"", ""once"", ""than"", ""as"", ""in the same way as""}"
27,"du",0.005320283774372132,"you","{""you""}"
28,"aber",0.005125139063991851,"but","{""but"", ""though"", ""nevertheless"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
29,"was",0.00437780390100896,"What","{""what"", ""that which"", ""pardon"", ""excuse me"", ""eh""}"
30,"so",0.004332111832022426,"so","{""thus"", ""so"", ""in such a way"", ""in such a manner"", ""in order that"", ""that"", ""this"", ""consequently"", ""hence"", ""as a result"", ""to such an extent"", ""to such a degree"", ""sic""}"
31,"ihr",0.004293183628366184,"her","{""her"", ""their"", ""you""}"
32,"aus",0.004134664529189281,"out","{""of"", ""out of"", ""because of"", ""from""}"
33,"noch",0.004062132866924043,"yet","{""nor"", ""still"", ""yet"", ""even"", ""else"", ""more""}"
34,"einen",0.004039754546522765,"one","Missing[""NotAvailable""]"
35,"um",0.003768840153240406,"around","{""around"", ""at"", ""surrounding""}"
36,"wir",0.0037609249916836836,"we","{""we""}"
37,"im",0.0036542142226962363,"in the","Missing[""NotAvailable""]"
38,"ihn",0.0035041859331892728,"him","{""him""}"
39,"mir",0.00347597917564168,"me","{""me""}"
40,"für",0.0033645193097202,"For","{""for"", ""to"", ""of"", ""in return for"", ""per"", ""for each"", ""pro"", ""in favor of""}"
41,"ihm",0.0032913400433275944,"him","{""him""}"
42,"auch",0.00319398355617991,"also","{""also"", ""too"", ""as well"", ""in addition""}"
43,"wenn",0.0031929042159676295,"if","{""when"", ""considering that"", ""once"", ""if"", ""in case""}"
44,"nach",0.003186787954764708,"after","{""to"", ""after"", ""according to"", ""in accordance with"", ""under"", ""beyond"", ""later than"", ""past""}"
45,"sein",0.0030900790717443916,"his","{""his"", ""its"", ""be"", ""exist"", ""be located""}"
46,"dann",0.003036831621271896,"then","{""then"", ""in that case"", ""well"", ""and then"", ""at that time""}"
47,"mich",0.0029593349940301695,"me","{""me"", ""myself""}"
