"#","Word","Frequency","Translation"
1,"ir",0.034855210254975476,"and"
2,"į",0.01323599280421516,"to"
3,"kad",0.012140431725266453,"that"
4,"jis",0.011685402870762857,"he"
5,"buvo",0.008897178100912524,"was"
6,"iš",0.00886466045135807,"from"
7,"tai",0.006770436524347754,"this"
8,"su",0.006656079152760279,"with"
9,"kaip",0.00660806651583424,"how"
10,"o",0.006342032859412233,"o"
11,"bet",0.005833098907996221,"but"
12,"jo",0.005293611460354547,"his"
13,"aš",0.00524057932047715,"me"
14,"savo",0.004950539345592124,"your own"
15,"ji",0.0047894787726311385,"she"
16,"tik",0.0044968199266410555,"only"
17,"taip",0.004464956994862866,"yes"
18,"kai",0.003954058890118061,"when"
19,"ne",0.0037242529506493383,"no"
20,"ar",0.0036013842479704294,"with"
21,"dar",0.003598765376865373,"yet"
22,"jį",0.0035250005074062766,"him"
23,"jie",0.003419372706168991,"they"
24,"man",0.0034123890498888396,"me"
25,"nuo",0.0033549921248363476,"from"
26,"apie",0.0033222562360231394,"about"
27,"jau",0.0031295509705427196,"already"
28,"prie",0.0031018345846808696,"to"
29,"ant",0.003075209395112794,"ant"
30,"mano",0.0030616785610700008,"mine"
31,"tačiau",0.00304269174555834,"however"
32,"ką",0.0028515141548892033,"what"
33,"per",0.00276727380100988,"per"
34,"kas",0.002765964365457352,"who"
35,"jos",0.0027356291084904456,"her"
36,"po",0.0027349743907141813,"after"
37,"jam",0.0027327919981266343,"to him"
38,"už",0.0027192611640838413,"for"
39,"nors",0.002485526917957534,"though"
40,"jų",0.0024211463366248906,"their"
41,"tu",0.0021821743482884695,"you"
42,"čia",0.0021642787290705825,"here"
43,"yra",0.0021138654602982413,"is"
44,"nes",0.0020868037922126556,"because"
45,"to",0.0020564685352457493,"to"
46,"mane",0.0020241691249500504,"me"
47,"dabar",0.0020091106160959747,"now"
48,"ją",0.001835173926868461,"her"
49,"kur",0.001790216639564988,"where"
50,"dėl",0.0017347838678412886,"because of"
51,"jog",0.0017219077515747598,"yog"
52,"vis",0.0017162335308471372,"vis"
53,"net",0.0017035756538393632,"net"
54,"jei",0.001697464954594231,"if"
55,"pat",0.0016690938509561172,"pat"
56,"mes",0.0016450875324930977,"us"
57,"būtų",0.0016073321407285306,"would"
58,"tarė",0.0016073321407285306,"said"
59,"be",0.0015920553926157001,"without"
60,"labai",0.0015390232527383025,"very much"
61,"vėl",0.001425320598927092,"again"
62,"todėl",0.0014157180715418845,"therefore"
63,"nieko",0.0014100438508142616,"nothing"
64,"nei",0.0013871287286450157,"than"
65,"paskui",0.001347627422810411,"then"
66,"prieš",0.0013094355525283346,"against"
67,"juos",0.0012758267066801073,"them"
68,"mūsų",0.0012679700933649373,"ours"
69,"vienas",0.0012583675659797295,"one"
70,"gali",0.0012483285600770123,"can"
71,"tada",0.0012470191245244839,"then"
72,"tą",0.0012428725786081442,"that"
73,"jeigu",0.0012395989897268235,"if"
74,"pats",0.0011885310031782184,"yourself"
75,"ten",0.001180892629121803,"there"
76,"jai",0.001180237911345539,"her"
77,"nė",0.0011619058136101421,"no"
78,"tau",0.0011459743477210474,"for you"
79,"visi",0.0011237139433280658,"all"
80,"iki",0.0010826849626821779,"to"
81,"tiek",0.0010774472204720647,"both"
82,"kol",0.001066098779016819,"col"
83,"kuris",0.0010399100679662524,"which"
84,"metų",0.0010390371109312334,"years"
85,"gal",0.0010372911968611956,"maybe"
86,"jūs",0.0010324899331685918,"you"
87,"tas",0.001023542123559648,"it"
88,"turi",0.00102223268800712,"has"
89,"daugiau",0.0010030276332367043,"more"
90,"tavo",0.0009977898910265908,"yours"
91,"būti",0.0009720376584935337,"to be"
92,"daug",0.000967891112577194,"a lot"
93,"tuo",0.0009672363948009298,"that"
94,"ėmė",0.000965490480730892,"began"
95,"bus",0.0009349369845052308,"will"
96,"ko",0.0009286080460013439,"co"
97,"vieną",0.0009216243897211928,"one"
98,"galvą",0.0009104941875247019,"head"
99,"kartą",0.0009059111630908528,"generation"
100,"kiek",0.0009030740527270414,"how much"
101,"nebuvo",0.0008904161757192675,"was not"
102,"bei",0.0008899796972017581,"and"
103,"juk",0.0008755759061239463,"after all"
104,"paklausė",0.0008607356365286252,"asked"
105,"kurie",0.0008524425446959458,"which"
106,"kodėl",0.0008511331091434174,"why"
107,"visą",0.0008463318454508136,"whole"
108,"tarsi",0.0008330192506667755,"as if"
109,"atsakė",0.0008277815084566622,"answered"
110,"gerai",0.0008194884166239827,"okay"
111,"jiems",0.0007967915337134916,"to them"
112,"pro",0.0007957003374197179,"pro"
113,"pasakė",0.0007924267485383971,"said"
114,"reikia",0.0007880619633633027,"need"
115,"toks",0.0007647103626765474,"such"
116,"jūsų",0.0007607820560189624,"your"
117,"viskas",0.0007559807923263584,"everything"
118,"kurį",0.0007505248108574904,"which"
119,"arba",0.0007474694612349243,"or"
120,"žmonės",0.0007474694612349243,"people"
121,"manęs",0.0007404858049547732,"me"
122,"nėra",0.0007383034123672259,"there is no"
123,"visa",0.0007345933449683957,"the whole"
124,"visai",0.0007332839094158673,"quite"
125,"akis",0.0007321927131220937,"eye"
126,"tave",0.0007313197560870748,"you"
127,"atrodė",0.0007304467990520559,"looked like"
128,"tarp",0.0007302285597933012,"between"
129,"žmogus",0.0007214989894431123,"man"
130,"lyg",0.0007210625109256029,"level"
131,"turėjo",0.0007182254005617915,"had"
132,"šis",0.0006955285176513004,"this one"
133,"niekas",0.0006937826035812625,"nobody"
134,"vos",0.0006857077510073378,"barely"
135,"viską",0.0006645385429081298,"everything"
